tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio
La Europea,Terreliade Inzolia,213.0,426.0,50.0,,Blanco,Italia,Sicilia,Inzolia Chardonnay,https://www.laeuropea.com.mx/vb-terreliade-bianco-blend-750ml-10000009647.html,2025-10-31 20:38:45,True,,,Medio-Bajo
La Europea,Aromo Reserva,214.0,,,,Tinto,Chile,Valle del Maule,Cabernet sauvignon,https://www.laeuropea.com.mx/vt-cab-sauv-aromo-rva-750ml-10000010513.html,2025-10-31 20:36:19,False,,,Medio-Bajo
La Europea,"Elsa Bianchi, ,",214.0,,,750 ML,Blanco,Argentina,Mendoza,Chardonnay,https://www.laeuropea.com.mx/vb-chard-elsa-bianchi-750ml-10000005966.html,2025-10-31 20:37:43,False,750.0,0.2853,Medio-Bajo
La Europea,Finca 1212,219.0,,,,Tinto,Argentina,Mendoza,Shiraz,https://www.laeuropea.com.mx/vt-shiraz-finca-1212-750ml-10000006806.html,2025-10-31 20:37:05,False,,,Medio-Bajo
La Europea,Finca 1212,219.0,,,,Blanco,Argentina,Mendoza,Torrontes,https://www.laeuropea.com.mx/vb-torrontes-finca-1212-750ml-10000006807.html,2025-10-31 20:37:06,False,,,Medio-Bajo
La Europea,Liefraumilch Blue Rihin,219.99,,,750 ML,Blanco,Alemania,Rheinhessen,,https://www.laeuropea.com.mx/vb-liefra-milch-blue-rihin-750ml-10000001598.html,2025-10-31 20:39:25,False,750.0,0.2933,Medio-Bajo
La Europea,Casillero Del Diablo,229.0,,,750 ML,Blanco,Chile,Casa Blanca,Chardonnay,https://www.laeuropea.com.mx/vb-chard-casillero-del-diablo-750ml-10000001527.html,2025-10-31 20:38:31,False,750.0,0.3053,Medio-Bajo
La Europea,Oppenheimer Blue Rhin,229.98,,,750 ML,Blanco,Alemania,Rheinhessen,,https://www.laeuropea.com.mx/vb-oppen-heimer-blue-rhin-750ml-10000001618.html,2025-10-31 20:39:23,False,750.0,0.3066,Medio-Bajo
La Europea,Canals & Nubiola,240.99,,,,Rosado,España,Catalunya,,https://www.laeuropea.com.mx/vr-nubiola-seco-rosado-750ml-10000007366.html,2025-10-31 20:38:06,False,,,Medio-Bajo
La Europea,Pinot Grigio Folonari,241.23,,,,Blanco,Italia,Veneto,,https://www.laeuropea.com.mx/vb-pinot-grigio-folonari-750ml-10000009094.html,2025-10-31 20:37:30,False,,,Medio-Bajo
La Europea,Santa Carolina Reserva,244.0,305.0,20.0,750 ML,Blanco,Chile,Valle Leyda,Chardonnay,https://www.laeuropea.com.mx/vb-chard-reserva-santa-caroli-750ml-10000001555.html,2025-10-31 20:38:40,True,750.0,0.3253,Medio-Bajo
La Europea,Cabernet Suavignon Reserva Las Condes,247.0,,,,Tinto,Chile,Valle Central,,https://www.laeuropea.com.mx/vt-cab-sau-rva-las-condes-750ml-10000009663.html,2025-10-31 20:39:18,False,,,Medio-Bajo
La Europea,Enate,247.2,309.0,20.0,,Tinto,España,Somontano,"Cabernet Sauvignon, Merlot.",https://www.laeuropea.com.mx/vt-cabernet-sauvignon-merlot-enate-500ml-10000005851.html,2025-10-31 20:38:17,True,,,Medio-Bajo
La Europea,Emina Rueda,249.0,,,,Blanco,España,Ribera del Duero,,https://www.laeuropea.com.mx/vb-emina-rueda-750ml-10000003900.html,2025-10-31 20:37:37,False,,,Medio-Bajo
La Europea,MONTES CLASSIC,252.0,315.0,20.0,750 ML,Blanco,Chile,Valle Central,Chardonnay,https://www.laeuropea.com.mx/vb-chard-montes-classic-750ml-10000006114.html,2025-10-31 20:37:29,True,750.0,0.336,Medio-Bajo
La Europea,Montes Classic,252.0,315.0,20.0,,Tinto,Chile,Valle de Colchagua,Merlot.,https://www.laeuropea.com.mx/vt-merlot-montes-classic-750ml-10000006112.html,2025-10-31 20:39:04,True,,,Medio-Bajo
La Europea,Viña Lobera,253.32,316.65,20.0,750 ML,Blanco,España,Rueda,Viura,https://www.laeuropea.com.mx/vb-vina-lobera-750-ml-10000017646.html,2025-10-31 20:36:35,True,750.0,0.3378,Medio-Bajo
La Europea,Cune Crianza,255.2,319.0,20.0,750 ML,Tinto,España,Rioja,"85% Tempranillo, 15% Garnacha tinta y Mazuelo.",https://www.laeuropea.com.mx/vt-cune-crianza-750ml-10000002112.html,2025-10-31 20:36:38,True,750.0,0.3403,Medio-Bajo
La Europea,Peñascal,255.86,,,750 ML,Rosado,España,Tierra de CastillA y Leon,Tempranillo,https://www.laeuropea.com.mx/vr-penascal-750ml-10000006293.html,2025-10-31 20:38:40,False,750.0,0.3411,Medio-Bajo
La Europea,"Cousiño Macul, ,",259.0,,,750 ML,Blanco,Chile,Valle del Maipo,Chardonnay,https://www.laeuropea.com.mx/vb-chardonnay-cousino-macul-750ml-10000001533.html,2025-10-31 20:37:56,False,750.0,0.3453,Medio-Bajo
La Europea,Santa Digna Sauvignon Blanc,273.0,,,750 ML,Blanco,Chile,"Lodai, California",,https://www.laeuropea.com.mx/vb-sauv-blanc-santa-digna-750ml-10000001660.html,2025-10-31 20:38:18,False,750.0,0.364,Medio-Bajo
